entity_id,name_en,name_ru,name_ar,name_zh,name_ja,name_he,name_hi,name_el,name_ko
Q100087494,Francis Kwasi Buor,,,,,,,,
Q1000875,Stiliyan Makarski,,,斯蒂利安·马卡尔斯基,,,,,
Q100087516,E. John Robinson,,,,,,,,
Q100087942,Salwian Jakubowski,,,,,,,,
Q100088080,Jackie van Oppen,,,,,,,,
Q100088229,Ashlee Blackwell,,,,,,,,
Q1000884,Roger Morris,,روجر موريس,,,,,,
Q100088602,Kajetan Belejowski,,,,,,,,
Q100088655,Tracey Boakye,Трэйси Боакье,تريسي بواكي,,,,,,
Q100088886,Mark Tilzey,,,,,,,,
Q100088925,Napoleon Jan Jeleński,,,,,,,,
Q1000895,Zsigmond Fessel,,,,,,,,
Q1000896,Albert Brosch,,,,,,,,
Q100089627,Zofia Merdingerowa,,,,,,,,
Q1000899,Leó Fessler,,,,レオ・フェスレール,,,,
Q100089913,Lita Soler Arimon,,,,,,,,
Q100090005,Danielle Burrows,,,,,,,,
Q1000902,Imre Fest,,,,,,,,
Q100090226,Nicolette McKeown,Николетт МакКеоун,,,,,,,
Q100090268,Massimo Milanesi,,,,,,,,
Q1000905,Vilmos Fest,,,,,,,,
Q100090642,Władysław Karaffa-Korbutt,,,,,,,,
Q100090749,Robin R. Means Coleman,,,,,,,,
Q100091145,Stanisław Michał Segnitz,,,,,,,,
Q1000912,Piotr Trzaskalski,,,彼德·恰斯卡尔斯基,,,,Πιότρ Τσασκάλσκι,피오트르 트샤스칼스키
Q1000916,Albert Károly Festetics,,,,,,,,
Q100091615,Mario Ricardo Rodriguez,,,,,,,,
Q100091999,Javier Alonso Salgueiro,,,,,,,,
Q1000920,Gert Haendler,,,,,,,,
Q1000922,Andor Festetics,,,,,,,,
Q100092265,Horatiu Lemnei,,,,,,,,
Q1000924,György Festetics,Дьёрдь Фестетикс,,費斯特提斯·格奧爾齊,,,,,
Q100092521,Kolumbin Jan Bytomski,,,,,,,,
Q1000926,Sekhemrekhutawy Khabaw,Сехемра Хуитауи,,,カバウ,,,,
Q100092875,Dionizy Cetkowski,,,,,,,,
Q1000929,Imre Festetics,,,,,,,,
Q100093050,Scott Strobel,,,,,,,,
